Date,Region Code,Region Name,Total Hospitals,Total Beds,Public Hospitals,Beds in Public Hospitals,Non-Public Hospitals,Beds in Non-Public Hospitals,Other Hospitals,Beds in Other Hospitals
31.12.2022,5.0,Nordrhein-Westfalen,333,112862,75,33326,53,10858,205,68678
31.12.2022,51.0,"  Düsseldorf, Regierungsbezirk",95,33068,16,6623,17,6517,62,19928
31.12.2022,5111.0,"    Düsseldorf, krfr. Stadt",13,4216,2,1503,4,657,7,2056
31.12.2022,5112.0,"    Duisburg, krfr. Stadt",7,4283,2,1503,3,2030,4,2253
31.12.2022,5113.0,"    Essen, krfr. Stadt",11,4788,3,1526,1,19,7,3243
31.12.2022,5114.0,"    Krefeld, krfr. Stadt",4,1977,3,1526,2,1274,2,703
31.12.2022,5116.0,"    Mönchengladbach, krfr. Stadt",5,1892,2,724,2,1274,3,1168
31.12.2022,5117.0,"    Mülheim an der Ruhr, krfr. Stadt",2,797,2,724,2,1274,2,797
31.12.2022,5119.0,"    Oberhausen, krfr. Stadt",3,1120,2,724,1,199,2,921
31.12.2022,5120.0,"    Remscheid, krfr. Stadt",3,1018,2,724,1,430,2,588
31.12.2022,5122.0,"    Solingen, krfr. Stadt",4,843,1,465,1,430,3,378
31.12.2022,5124.0,"    Wuppertal, krfr. Stadt",4,2133,1,465,1,1016,3,1117
31.12.2022,5154.0,"    Kleve, Kreis",7,1685,1,312,1,1016,6,1373
31.12.2022,5158.0,"    Mettmann, Kreis",11,2136,1,350,3,635,7,1151
31.12.2022,5162.0,    Rhein-Kreis Neuss,8,2024,3,1157,3,635,5,867
31.12.2022,5166.0,"    Viersen, Kreis",6,1373,3,586,1,257,2,530
31.12.2022,5170.0,"    Wesel, Kreis",7,2783,3,586,1,257,7,2783
31.12.2022,53.0,"  Köln, Regierungsbezirk",80,24876,18,10402,16,2191,46,12283
31.12.2022,5313.0,"    Aachen, krfr. Stadt",80,24876,18,10402,16,2191,46,12283
31.12.2022,5314.0,"    Bonn, krfr. Stadt",10,4264,2,2043,3,503,5,1718
31.12.2022,5315.0,"    Köln, krfr. Stadt",23,6860,6,2877,1,85,16,3898
31.12.2022,5316.0,"    Leverkusen, krfr. Stadt",2,877,1,598,1,85,1,279
31.12.2022,5334.0,    Städteregion Aachen (einschl. Stadt Aachen),8,3682,2,1989,2,444,4,1249
31.12.2022,5354.0,"    Aachen, Kreis",8,3682,2,1989,2,444,4,1249
31.12.2022,5358.0,"    Düren, Kreis",6,1808,2,874,2,444,4,934
31.12.2022,5362.0,    Rhein-Erft-Kreis,7,1239,2,874,2,176,5,1063
31.12.2022,5366.0,"    Euskirchen, Kreis",4,1193,1,617,1,21,2,555
31.12.2022,5370.0,"    Heinsberg, Kreis",4,1002,1,215,1,21,3,787
31.12.2022,5374.0,    Oberbergischer Kreis,6,1516,1,942,4,331,1,243
31.12.2022,5378.0,    Rheinisch-Bergischer Kreis,4,1148,2,247,4,331,2,901
31.12.2022,5382.0,    Rhein-Sieg-Kreis,6,1287,2,247,3,631,3,656
31.12.2022,55.0,"  Münster, Regierungsbezirk",47,16550,9,2977,2,171,36,13402
31.12.2022,5512.0,"    Bottrop, krfr. Stadt",3,692,1,382,1,171,1,310
31.12.2022,5513.0,"    Gelsenkirchen, krfr. Stadt",6,2287,1,342,1,171,5,1945
31.12.2022,5515.0,"    Münster, krfr. Stadt",8,3388,2,1380,1,171,6,2008
31.12.2022,5554.0,"    Borken, Kreis",4,1893,2,1380,1,171,4,1893
31.12.2022,5558.0,"    Coesfeld, Kreis",3,940,2,1380,1,171,3,940
31.12.2022,5562.0,"    Recklinghausen, Kreis",10,3993,2,297,1,171,8,3696
31.12.2022,5566.0,"    Steinfurt, Kreis",7,2057,2,576,1,171,4,1310
31.12.2022,5570.0,"    Warendorf, Kreis",6,1300,1,576,1,171,5,1300
31.12.2022,57.0,"  Detmold, Regierungsbezirk",31,11982,13,6131,7,548,11,5303
31.12.2022,5711.0,"    Bielefeld, krfr. Stadt",5,3269,1,1112,1,15,3,2142
