GENESIS-Tabelle: 23111-01d
Anzahl der Krankenhäuser und aufgestellte Betten nach Art;;;;;;;;;;
der Träger - kreisfreie Städte und Kreise - Stichtag;;;;;;;;;;
Grunddaten der Krankenhäuser;;;;;;;;;;
;;;Träger;Träger;Träger;Träger;Träger;Träger;Träger;Träger
;;;Insgesamt;Insgesamt;Öffentliche Träger;Öffentliche Träger;Private Träger;Private Träger;Freigemeinnützige Träger;Freigemeinnützige Träger
;;;Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt)
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2022;05;Nordrhein-Westfalen;333;112862;75;33326;53;10858;205;68678
31.12.2022;051;  Düsseldorf, Regierungsbezirk;95;33068;16;6623;17;6517;62;19928
31.12.2022;05111;    Düsseldorf, krfr. Stadt;13;4216;2;1503;4;657;7;2056
31.12.2022;05112;    Duisburg, krfr. Stadt;7;4283;-;-;3;2030;4;2253
31.12.2022;05113;    Essen, krfr. Stadt;11;4788;3;1526;1;19;7;3243
31.12.2022;05114;    Krefeld, krfr. Stadt;4;1977;-;-;2;1274;2;703
31.12.2022;05116;    Mönchengladbach, krfr. Stadt;5;1892;2;724;-;-;3;1168
31.12.2022;05117;    Mülheim an der Ruhr, krfr. Stadt;2;797;-;-;-;-;2;797
31.12.2022;05119;    Oberhausen, krfr. Stadt;3;1120;-;-;1;199;2;921
31.12.2022;05120;    Remscheid, krfr. Stadt;3;1018;-;-;1;430;2;588
31.12.2022;05122;    Solingen, krfr. Stadt;4;843;1;465;-;-;3;378
31.12.2022;05124;    Wuppertal, krfr. Stadt;4;2133;-;-;1;1016;3;1117
31.12.2022;05154;    Kleve, Kreis;7;1685;1;312;-;-;6;1373
31.12.2022;05158;    Mettmann, Kreis;11;2136;1;350;3;635;7;1151
31.12.2022;05162;    Rhein-Kreis Neuss;8;2024;3;1157;-;-;5;867
31.12.2022;05166;    Viersen, Kreis;6;1373;3;586;1;257;2;530
31.12.2022;05170;    Wesel, Kreis;7;2783;-;-;-;-;7;2783
31.12.2022;053;  Köln, Regierungsbezirk;80;24876;18;10402;16;2191;46;12283
31.12.2022;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2022;05314;    Bonn, krfr. Stadt;10;4264;2;2043;3;503;5;1718
31.12.2022;05315;    Köln, krfr. Stadt;23;6860;6;2877;1;85;16;3898
31.12.2022;05316;    Leverkusen, krfr. Stadt;2;877;1;598;-;-;1;279
31.12.2022;05334;    Städteregion Aachen (einschl. Stadt Aachen);8;3682;2;1989;2;444;4;1249
31.12.2022;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2022;05358;    Düren, Kreis;6;1808;2;874;-;-;4;934
31.12.2022;05362;    Rhein-Erft-Kreis;7;1239;-;-;2;176;5;1063
31.12.2022;05366;    Euskirchen, Kreis;4;1193;1;617;1;21;2;555
31.12.2022;05370;    Heinsberg, Kreis;4;1002;1;215;-;-;3;787
31.12.2022;05374;    Oberbergischer Kreis;6;1516;1;942;4;331;1;243
31.12.2022;05378;    Rheinisch-Bergischer Kreis;4;1148;2;247;-;-;2;901
31.12.2022;05382;    Rhein-Sieg-Kreis;6;1287;-;-;3;631;3;656
31.12.2022;055;  Münster, Regierungsbezirk;47;16550;9;2977;2;171;36;13402
31.12.2022;05512;    Bottrop, krfr. Stadt;3;692;1;382;1;-;1;310
31.12.2022;05513;    Gelsenkirchen, krfr. Stadt;6;2287;1;342;-;-;5;1945
31.12.2022;05515;    Münster, krfr. Stadt;8;3388;2;1380;-;-;6;2008
31.12.2022;05554;    Borken, Kreis;4;1893;-;-;-;-;4;1893
31.12.2022;05558;    Coesfeld, Kreis;3;940;-;-;-;-;3;940
31.12.2022;05562;    Recklinghausen, Kreis;10;3993;2;297;-;-;8;3696
31.12.2022;05566;    Steinfurt, Kreis;7;2057;2;576;1;171;4;1310
31.12.2022;05570;    Warendorf, Kreis;6;1300;1;-;-;-;5;1300
31.12.2022;057;  Detmold, Regierungsbezirk;31;11982;13;6131;7;548;11;5303
31.12.2022;05711;    Bielefeld, krfr. Stadt;5;3269;1;1112;1;15;3;2142
31.12.2022;05754;    Gütersloh, Kreis;3;1324;2;743;-;-;1;581
31.12.2022;05758;    Herford, Kreis;3;1123;1;755;-;-;2;368
31.12.2022;05762;    Höxter, Kreis;2;979;-;-;1;139;1;840
31.12.2022;05766;    Lippe, Kreis;5;1387;3;1206;2;181;-;-
31.12.2022;05770;    Minden-Lübbecke, Kreis;8;2149;4;1906;3;213;1;30
31.12.2022;05774;    Paderborn, Kreis;5;1751;2;409;-;-;3;1342
31.12.2022;059;  Arnsberg, Regierungsbezirk;80;26386;19;7193;11;1431;50;17762
31.12.2022;05911;    Bochum, krfr. Stadt;7;3594;3;1198;2;85;2;2311
31.12.2022;05913;    Dortmund, krfr. Stadt;9;3929;4;2228;-;-;5;1701
31.12.2022;05914;    Hagen, krfr. Stadt;4;1537;-;-;1;80;3;1457
31.12.2022;05915;    Hamm, krfr. Stadt;5;1681;1;110;-;-;4;1571
31.12.2022;05916;    Herne, krfr. Stadt;5;1635;-;-;-;-;5;1635
