;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2022;05;Nordrhein-Westfalen;333;112862;75;33326;53;10858;205;68678
31.12.2022;05162;    Rhein-Kreis Neuss;8;2024;3;1157;-;-;5;867
31.12.2022;05334;    Städteregion Aachen (einschl. Stadt Aachen);8;3682;2;1989;2;444;4;1249
31.12.2022;05362;    Rhein-Erft-Kreis;7;1239;-;-;2;176;5;1063
31.12.2022;05374;    Oberbergischer Kreis;6;1516;1;942;4;331;1;243
31.12.2022;05378;    Rheinisch-Bergischer Kreis;4;1148;2;247;-;-;2;901
31.12.2022;05382;    Rhein-Sieg-Kreis;6;1287;-;-;3;631;3;656
31.12.2022;05954;    Ennepe-Ruhr-Kreis;6;1683;-;-;1;401;5;1282
31.12.2022;05958;    Hochsauerlandkreis;10;2133;3;393;1;54;6;1686
31.12.2022;05962;    Märkischer Kreis;10;2480;3;1158;3;280;4;1042
31.12.2021;05;Nordrhein-Westfalen;335;114156;75;34267;51;11049;209;68840
31.12.2021;05162;    Rhein-Kreis Neuss;8;2040;3;1157;-;-;5;883
31.12.2021;05334;    Städteregion Aachen (einschl. Stadt Aachen);8;3638;2;2061;2;444;4;1133
31.12.2021;05362;    Rhein-Erft-Kreis;8;1333;-;-;2;189;6;1144
31.12.2021;05374;    Oberbergischer Kreis;6;1495;1;941;4;311;1;243
31.12.2021;05378;    Rheinisch-Bergischer Kreis;4;1184;2;247;-;-;2;937
31.12.2021;05382;    Rhein-Sieg-Kreis;6;1290;-;-;3;636;3;654
31.12.2021;05954;    Ennepe-Ruhr-Kreis;6;1639;-;-;1;367;5;1272
31.12.2021;05958;    Hochsauerlandkreis;10;2141;3;414;1;54;6;1673
31.12.2021;05962;    Märkischer Kreis;10;2611;3;1294;3;280;4;1037
31.12.2020;05;Nordrhein-Westfalen;337;114917;77;34849;49;11010;211;69058
31.12.2020;05162;    Rhein-Kreis Neuss;8;2043;3;1150;-;-;5;893
31.12.2020;05334;    Städteregion Aachen (einschl. Stadt Aachen);8;3822;2;2148;1;125;5;1549
31.12.2020;05362;    Rhein-Erft-Kreis;8;1377;-;-;2;189;6;1188
31.12.2020;05374;    Oberbergischer Kreis;6;1516;1;941;4;312;1;263
31.12.2020;05378;    Rheinisch-Bergischer Kreis;4;1168;2;235;-;-;2;933
31.12.2020;05382;    Rhein-Sieg-Kreis;6;1248;-;-;3;606;3;642
